n,seconds
1,0.0000087
2,0.0000049
3,0.000005
4,0.0000063
5,0.0000074
6,0.0000091
7,0.0000108
8,0.0000132
9,0.0000152
10,0.0000174
11,0.0000199
12,0.0000219
13,0.0000244
14,0.0000266
15,0.0000291
16,0.0000321
17,0.0000354
18,0.0000385
19,0.0000417
20,0.0000448
21,0.0000493
22,0.0000526
23,0.0000558
24,0.0000598
25,0.000064
26,0.0000686
27,0.0000739
28,0.0000775
29,0.0000831
30,0.0000877
31,0.0000921
32,0.0000976
33,0.0001021
34,0.0001081
35,0.0001127
36,0.0001396
37,0.0001567
38,0.0001346
39,0.0001369
40,0.0001424
41,0.0001494
42,0.0001547
43,0.0001607
44,0.0001682
45,0.0001739
46,0.0001828
47,0.0001907
48,0.0001954
49,0.0002016
50,0.0002084
51,0.0002165
52,0.0002239
53,0.0002327
54,0.0002416
55,0.0002506
56,0.0002597
57,0.0002684
58,0.0002763
59,0.0002852
60,0.0002943
61,0.0003024
62,0.0003106
63,0.0003205
64,0.0003315
65,0.000341
66,0.0003509
67,0.0003633
68,0.0003709
69,0.0004245
70,0.0004087
71,0.0004023
72,0.0004135
73,0.0004274
74,0.000436
75,0.0004482
76,0.0004611
77,0.0004715
78,0.0004845
79,0.0004972
80,0.0005101
81,0.0005289
82,0.0005389
83,0.0005456
84,0.0005599
85,0.0005709
86,0.0005829
87,0.0005947
88,0.0006088
89,0.0006212
90,0.0006572
91,0.0006515
92,0.0006616
93,0.0006875
94,0.0006901
95,0.0007075
96,0.0007213
97,0.0007345
98,0.0007498
99,0.0007659
100,0.0007812
101,0.0007942
102,0.0008124
103,0.0008269
104,0.0008391
105,0.0008664
106,0.0008963
107,0.0008855
108,0.0009029
109,0.0009157
110,0.0009325
111,0.000949
112,0.0009665
113,0.0009849
114,0.001001
115,0.0010183
116,0.0010386
117,0.0010534
118,0.0010682
119,0.0011087
120,0.0011042
121,0.0011222
122,0.001141
123,0.0011595
124,0.0011762
125,0.0011952
126,0.0012109
127,0.0012288
128,0.0012477
129,0.0012883
130,0.0013643
131,0.0013337
132,0.0013259
133,0.0013442
134,0.0013604
135,0.0013819
136,0.0013971
137,0.0014155
138,0.0014374
139,0.0014821
140,0.0014756
141,0.0014938
142,0.0015154
143,0.0015352
144,0.0015808
145,0.0023427
146,0.0056993
147,0.0056948
148,0.0057771
149,0.0058583
150,0.0036803
151,0.0034917
152,0.0034834
153,0.0035197
154,0.0035548
155,0.0036565
156,0.0036443
157,0.0028418
158,0.002171
159,0.0021976
160,0.0022441
161,0.0022501
162,0.0022753
163,0.0022973
164,0.0023309
165,0.0023638
166,0.0024561
167,0.0024195
168,0.0024275
169,0.0021177
170,0.0021444
171,0.0021733
172,0.0022506
173,0.0022101
174,0.0022388
175,0.0022584
176,0.0023225
177,0.0023122
178,0.0023647
179,0.0023632
180,0.0024018
181,0.0024554
182,0.0024424
183,0.0024673
184,0.0024945
185,0.0025115
186,0.0025373
187,0.0025616
188,0.0025886
189,0.0026503
190,0.0026412
191,0.0026763
192,0.0026942
193,0.0027214
194,0.0027619
195,0.0027845
196,0.0028076
197,0.0028339
198,0.0028609
199,0.0028861
200,0.002943
201,0.0029443
202,0.0029742
203,0.0030102
204,0.0034583
205,0.0030822
206,0.0031667
207,0.0031287
208,0.0032127
209,0.0032434
210,0.0032698
211,0.0032487
212,0.0032853
213,0.0033443
214,0.0033379
215,0.0033672
216,0.0033922
217,0.0034513
218,0.0034544
219,0.0034799
220,0.0035675
221,0.0035647
222,0.0036383
223,0.0036068
224,0.0036972
225,0.00371
226,0.0037013
227,0.0037306
228,0.0037622
229,0.0038152
230,0.0038273
231,0.0038553
232,0.0038924
233,0.0039537
234,0.0040218
235,0.003994
236,0.0040474
237,0.0040524
238,0.0040903
239,0.004126
240,0.0042375
241,0.0041868
242,0.0042179
243,0.0043192
244,0.0042935
245,0.0043239
246,0.0043771
247,0.0045149
248,0.0044949
249,0.0044584
250,0.0044998
251,0.0045199
252,0.0045606
253,0.0047245
254,0.004612
255,0.0046442
256,0.0047282
257,0.0047199
258,0.0047666
259,0.0048372
260,0.0048272
261,0.004866
262,0.0049142
263,0.0049414
264,0.0095704
265,0.0176964
266,0.0118285
267,0.0102128
268,0.0104029
269,0.0060425
270,0.0065096
271,0.0061252
272,0.0061932
273,0.0058177
274,0.0053631
275,0.0055169
276,0.005445
277,0.0054812
278,0.0055448
279,0.0055551
280,0.0056333
281,0.0056502
282,0.0056671
283,0.0057497
284,0.0057745
285,0.0058091
286,0.0058244
287,0.0059017
288,0.0059601
289,0.0059935
290,0.0061167
291,0.0060397
292,0.0061011
293,0.0061899
294,0.0061717
295,0.0062598
296,0.0062555
297,0.0063151
298,0.0063266
299,0.006358
300,0.0064286
301,0.006557
302,0.006567
303,0.0065407
304,0.0066153
305,0.0066271
306,0.0066698
307,0.0067604
308,0.0067456
309,0.0068055
310,0.0068534
311,0.0069003
312,0.0069225
313,0.0069825
314,0.0071381
315,0.0070796
316,0.0071056
317,0.0072646
318,0.0072056
319,0.0073099
320,0.0073535
321,0.0074198
322,0.0073868
323,0.0074097
324,0.0074421
325,0.0076959
326,0.0075361
327,0.0076354
328,0.0076143
329,0.0076852
330,0.0077906
331,0.0078477
332,0.0079291
333,0.0079003
334,0.0079154
335,0.0079947
336,0.0079967
337,0.0080676
338,0.0081021
339,0.0081536
340,0.0081816
341,0.0083579
342,0.00828
343,0.0085364
344,0.0084119
345,0.0084428
346,0.0085124
347,0.0085449
348,0.008627
349,0.0086422
350,0.008762
351,0.0087436
352,0.0087809
353,0.0088067
354,0.0089013
355,0.0088873
356,0.0089649
357,0.0090234
358,0.0090511
359,0.0090755
360,0.0108539
361,0.012299
362,0.0092442
363,0.0093242
364,0.0095005
365,0.0093886
366,0.0095417
367,0.0094952
368,0.0095616
369,0.0096394
370,0.0096518
371,0.0097567
372,0.009779
373,0.0098105
374,0.0099653
375,0.0100297
376,0.0100141
377,0.010089
378,0.0101286
379,0.0101625
380,0.0102536
381,0.0103227
382,0.0103091
383,0.0103607
384,0.0104375
385,0.0104725
386,0.0107327
387,0.0106152
388,0.0106438
389,0.010791
390,0.0107624
391,0.0110683
392,0.0108856
393,0.010942
394,0.011003
395,0.011071
396,0.0111307
397,0.0112636
398,0.0112171
399,0.0112518
400,0.0113377
401,0.0113933
402,0.0115478
403,0.0115101
404,0.0115301
405,0.0116339
406,0.0116843
407,0.0117322
408,0.0117521
409,0.0118261
410,0.011916
411,0.0119778
412,0.0120364
413,0.0121058
414,0.012198
415,0.0121942
416,0.012289
417,0.0123684
418,0.0127947
419,0.0127267
420,0.0125077
421,0.0124618
422,0.0125953
423,0.0128748
424,0.0127649
425,0.0127494
426,0.0127738
427,0.0129489
428,0.0128982
429,0.0132115
430,0.013011
431,0.0130903
432,0.013353
433,0.0132092
434,0.013237
435,0.013333
436,0.0133328
437,0.0134168
438,0.0135567
439,0.0135727
440,0.0137328
441,0.0137229
442,0.0388112
443,0.0280671
444,0.0263623
445,0.0165506
446,0.015431
447,0.0142102
448,0.0141422
449,0.0141901
450,0.0142653
451,0.0143239
452,0.0143832
453,0.0144515
454,0.0147626
455,0.0145954
456,0.0146526
457,0.0147114
458,0.0147932
459,0.0148124
460,0.0149005
461,0.0149442
462,0.0153305
463,0.0150544
464,0.0151391
465,0.0151792
466,0.0152548
467,0.0153166
468,0.0153766
469,0.015457
470,0.0155275
471,0.0159443
472,0.0158973
473,0.016055
474,0.0158591
475,0.0158429
476,0.0158994
477,0.0159504
478,0.0160053
479,0.016185
480,0.0163901
481,0.0162355
482,0.0163592
483,0.0163992
484,0.0164086
485,0.016504
486,0.0165265
487,0.0165964
488,0.0166943
489,0.0167463
490,0.0169711
491,0.0168681
492,0.0169262
493,0.0169978
494,0.0172884
495,0.0171575
496,0.0172005
497,0.0172813
498,0.0173466
499,0.0174096
500,0.0174876
501,0.0175424
502,0.0176196
503,0.0177951
504,0.0177609
505,0.0178204
506,0.0178765
507,0.0179434
508,0.018013
509,0.0183678
510,0.0181631
511,0.0182231
512,0.0185048
513,0.0183856
514,0.0184409
515,0.0189897
516,0.0186058
517,0.0186434
518,0.0187686
519,0.0188328
520,0.0188724
521,0.0189425
522,0.0193133
523,0.019104
524,0.0192488
525,0.0192352
526,0.0193183
527,0.0197217
528,0.0194744
529,0.0196031
530,0.0196896
531,0.019788
532,0.0197783
533,0.0198485
534,0.0199712
535,0.020013
536,0.0202578
537,0.0201536
538,0.0206418
539,0.020717
540,0.021013
541,0.0211484
542,0.0212162
543,0.0216212
544,0.0212414
545,0.0238692
546,0.0229102
547,0.0238527
548,0.0234293
549,0.021809
550,0.0217318
551,0.0213604
552,0.0242751
553,0.0215051
554,0.0215111
555,0.0219471
556,0.0220183
557,0.0220834
558,0.0222822
559,0.0219115
560,0.0222286
561,0.0224285
562,0.0224219
563,0.0229267
564,0.0222618
565,0.0224258
566,0.0230244
567,0.0225592
568,0.0225801
569,0.0229752
570,0.0228729
571,0.0227597
572,0.0228649
573,0.0229678
574,0.0234583
575,0.0234893
576,0.0235644
577,0.02326
578,0.0238177
579,0.0234547
580,0.0234824
581,0.0237173
582,0.0236769
583,0.0240637
584,0.0243124
585,0.0243456
586,0.0240228
587,0.0245161
588,0.0245768
589,0.0246093
590,0.0246726
591,0.024779
592,0.0707276
593,0.0386224
594,0.0267354
595,0.0247809
596,0.0248418
597,0.0253438
598,0.0250347
599,0.0251204
600,0.0251924
601,0.0255359
602,0.0254225
603,0.0257248
604,0.0257052
605,0.0256358
606,0.0256992
607,0.0258121
608,0.0258486
609,0.0260585
610,0.0260809
611,0.0261406
612,0.0265476
613,0.0263414
614,0.0263479
615,0.026422
616,0.0265089
617,0.0266535
618,0.0269666
619,0.0268756
620,0.0272647
621,0.0270218
622,0.0270533
623,0.0271621
624,0.0277107
625,0.027386
626,0.0278648
627,0.0275033
628,0.0277713
629,0.027722
630,0.0279372
631,0.0280863
632,0.0284698
633,0.0284292
634,0.0283906
635,0.0285245
636,0.0287926
637,0.0283899
638,0.0284918
639,0.028639
640,0.0286687
641,0.0288505
642,0.0288632
643,0.0291735
644,0.0290485
645,0.0293362
646,0.0292098
647,0.0293358
648,0.0294233
649,0.0299959
650,0.0300863
651,0.0301419
652,0.0297738
653,0.0298684
654,0.0299304
655,0.0302377
656,0.0301469
657,0.0307406
658,0.0305126
659,0.0309654
660,0.0306797
661,0.0309196
662,0.0309629
663,0.0313139
664,0.0313572
665,0.0309782
666,0.0315034
667,0.0316475
668,0.0312108
669,0.0313085
670,0.0314675
671,0.0321197
672,0.0315808
673,0.0323453
674,0.0317426
675,0.0318451
676,0.0323656
677,0.0320014
678,0.0323707
679,0.0321958
680,0.0323096
681,0.0323658
682,0.0325582
683,0.0326176
684,0.0328715
685,0.0333275
686,0.0347785
687,0.0330348
688,0.0330858
689,0.0331991
690,0.0333324
691,0.0337199
692,0.0335645
693,0.033803
694,0.0592722
695,0.0462089
696,0.034166
697,0.0339621
698,0.0340831
699,0.0345421
700,0.0342721
701,0.0343839
702,0.0352111
703,0.0346995
704,0.0346883
705,0.03479
706,0.0350394
707,0.0348833
708,0.0351166
709,0.0359349
710,0.0352326
711,0.0353164
712,0.0360192
713,0.0360748
714,0.0359851
715,0.0356855
716,0.0360752
717,0.0359546
718,0.0361083
719,0.0361039
720,0.0365856
721,0.0365415
722,0.0370422
723,0.0369752
724,0.0369694
725,0.036731
726,0.0367998
727,0.0374103
728,0.0374212
729,0.0376674
730,0.0378987
731,0.0373296
732,0.0374336
733,0.037755
734,0.0377006
735,0.0381664
736,0.0378604
737,0.0386866
738,0.0386789
739,0.0388057
740,0.0384142
741,0.038402
742,0.0389642
743,0.0387972
744,0.0388988
745,0.0391874
746,0.0391138
747,0.0396885
748,0.0753767
749,0.0651545
750,0.040232
751,0.0400843
752,0.0400827
753,0.0405057
754,0.0406208
755,0.0403593
756,0.0406042
757,0.0404174
758,0.0402888
759,0.0406721
760,0.0407327
761,0.0404551
762,0.0408038
763,0.0408272
764,0.0409541
765,0.0409117
766,0.0411322
767,0.041519
768,0.0413118
769,0.0415049
770,0.0415993
771,0.0422523
772,0.0423233
773,0.0424684
774,0.0423915
775,0.0422426
776,0.0421767
777,0.0426504
778,0.0427542
779,0.0430981
780,0.0433715
781,0.0433168
782,0.042981
783,0.0439127
784,0.0437255
785,0.0437628
786,0.0438988
787,0.0438147
788,0.0436503
789,0.0435195
790,0.0438692
791,0.0437595
792,0.0446054
793,0.0440504
794,0.0444167
795,0.0447814
796,0.0449629
797,0.0450065
798,0.0448534
799,0.0458064
800,0.0451317
801,0.0454391
802,0.045453
803,0.0458141
804,0.0459205
805,0.0458007
806,0.045804
807,0.0460133
808,0.045977
809,0.0462123
810,0.0460135
811,0.0464975
812,0.0466455
813,0.0464814
814,0.0471245
815,0.0466043
816,0.0469261
817,0.0467726
818,0.0470854
819,0.0473785
820,0.047181
821,0.0479142
822,0.0473448
823,0.0476945
824,0.0480111
825,0.0477731
826,0.0480988
827,0.0479033
828,0.0482019
829,0.0485673
830,0.0488453
831,0.0486235
832,0.0491305
833,0.0486732
834,0.0490263
835,0.0496439
836,0.0490954
837,0.0496209
838,0.0496993
839,0.0495902
840,0.0499597
841,0.0503579
842,0.0507297
843,0.050661
844,0.0506896
